channel_handle,channel_name,subscribers,n_videos,total_views,median_views,max_views,mean_duration_sec,top_video_title
@poshtraveller88812,POSH TRAVELLER,9320.0,49,570866,10593,51874,2626,1 May 2026 PARIS FRANCE 🇫🇷 STREET WALK TOUR CITY WALK MOST FAMOUS TOUR IN THE WORLD
@ShaniaAndEddie,Shania and Eddie,67600.0,49,4385330,70742,425808,301,Australian Couple React To Tamil Song (Pavazha Malli)
@CocoaButter,Cocoa Butter,1250000.0,49,22838558,306273,2918617,1192,White vs Black: We Try Each Others Struggle Meals ⎸ Taste Wars
@MaryPulidoVlogs,Mary Pulido Vlogs,,48,2269162,43646,97411,1895,REGRESO DE MI MAMÁ A RUSIA🇷🇺 ENCUENTRO CON SUS NIETOS🥰 ABRIENDO MALETAS DE CUBA🇨🇺 REGALOS🎁 16Feb2026
@danteteloresumen,Dante Resumen,67500.0,48,2006084,24774,445875,3079,😱 Descender Fue un Error… Regresar Era Imposible 💀🔥 | Made in Abyss – Final
@Fleurs_,Fleurs ,116000.0,48,674778,10407,53880,1385,50 Room Decorating Tips Every ACNH Player Needs!
@YourGameOfficial,Your Game,247000.0,48,1328822,16734,175062,6530,Yandere Jester Puppet - Kingdom Of Marionettes - ALL ENDINGS - ALL SECRETS
@CozinhaLucrativaOficial,Cozinha Lucrativa Oficial,,48,1186787,8849,223309,193,GASTEI MENOS DE 10 REAIS! DOCE FÁCIL FICA PRONTO EM 15 MINUTOS!
@merej6401,Merej,,48,580939,11200,26264,1326,WAR MACHINE : Critique du PREDATOR de NETFLIX ! (Sans Spoilers)
@autodidactic999,Auto didactic,95900.0,47,346802,6989,15328,4942,Conspiracy Talks with Guy Anderson Pt2 - Seeing Through The Veil
@thepastelbookshelf,ThePastelBookshelf,19700.0,47,494818,9298,38339,2297,"The Scariest Horror Books Ever Written (According To 43,000 Readers) 👀📚"
@QUANGNGỌCTRẦN-i1y,Ry Fitness Channel,,47,358056,826,116228,227,OLA MI CHICA| ZUMBA DANCE| EASY DANCE STEPS| DC RY FITNESS CHANNEL
@NolanGouveia,Investing Simplified - Professor G,435000.0,46,5459438,104666,483100,793,NEW (better) 4 ETF Portfolio beats everything! (BEST Simple Investing Guide 2026 📈)
@BestHistoryDocumentariesHH,Best History Documentaries,97200.0,46,1923550,19506,226792,2551,Cold Case: How The Ninth Legion Vanished
@LEYESUNIVERSALES7,LEYES UNIVERSALES,44700.0,46,681963,8088,190635,1799,OBLÍGATE A DOMINAR TU MENTE CADA MAÑANA 🧠🔥 | Brian Tracy
@sensacineSPAIN,SensaCine,564000.0,45,2157025,34911,158306,951,Crítica 'Proyecto salvación' (Project Hail Mary review)
@HorizontesOcultos88,Horizontes Ocultos TOP,,45,45190,406,8445,3304,LUGARES IMPOSSÍVEIS | As Casas Mais Perigosas da Terra | Documentário Completo 4K
@CocinandoconAngelrecetas,Cocinando con Angel,1340000.0,45,336117,5671,44662,254,"Receta FÁCIL, ECONOMICA y Bien Sabrosa, Papas con Acelgas"
@DiYCraftVibe,DiY Craft Vibe ,5340.0,45,548061,2568,233220,267,Creative  Craft Ideas Using Simple Materials | 2026 Edition
@marugameCH,まるのゲーム実況チャンネル,16700.0,45,194431,2077,30336,1222,【最強武器】高火力＆HP吸収！！ぶっ壊れ性能な武器７選【Windrose/ウィンドローズ】
@AcreHomestead,Acre Homestead,925000.0,45,10357216,212266,437205,3453,A Positive Induction Birth Vlog and Postpartum Recovery!!
@lospicardias01,Los picardías.,31100.0,44,2209408,34480,177000,590,Los mejores capítulos del 2025 #2026 #humor #comedia #viralvideo #drama
@CALLEkocht,CALLEkocht - Omas Rezepte,,43,1958818,37913,163942,487,😍 Omas Blumenkohl in weißer Soße!  So einfach und schnell gemacht!
@FamilyTubeOficial,FamilyTube,4150000.0,43,13616508,277117,747834,1372,24H Comiendo por la C
@d-angelo.,D'Angelo,,43,19785849,455867,1009899,1467,commentary viewers have gotten... really dumb.
@wufofrance,WUFO Science - France,,42,846497,9101,96023,3133,Pluton n’est pas ce que vous pensez : la vérité sur la planète naine | Documentaire spatial
@derkommandantesp,Der Kommandant Español,,42,2277782,37408,243437,4498,¿Qué Pasó con los 10 MILLONES de Soldados Alemanes cuando ACABÓ la Segunda Guerra Mundial?
@yosoyemeve,MV,37200.0,42,439823,10125,16797,1298,¡SHOWTIME GRATIS Y EPICS ACCESIBLES!! | EFOOTBALL 2026 & EFOOTBALL MOBILE
channel/UCTiJFF8uRmAJwdkAXsTH8Jw,4biddenknowledge Podcast Network ,1230000.0,42,975786,18105,90559,2379,Great Awakening 2026 - Galactic Alignment & DNA Shift | Billy Carson
@yani-horror,☆ Yani ☆,13700.0,42,10954,66,4986,2940,Tutorial on how to make Pierrot interactive on your cell phone!! 🎪 Pierrot/TFC 🎪
@UniversitarioTVU,Universitario TV,293000.0,42,752582,11394,113895,618,Universitario 3-0 Universidad de Chile | Recibimiento y Goles de la Noche Crema 2026
@zonamaster-x3r,Zona Master,1790.0,42,86583,329,27922,856,La Rutina de Mañana que Está HACIENDO ADELGAZAR 10 KG a TODO EL MUNDO
